"response.keys" "response.rt" "is_valid" "participant" "dominant_hand" "age" "gender" "target_x" "target_y" "hand_x" "movement_y"
"233" "down" 0.298 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"234" "left" 0.313 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"235" "right" 0.379 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"236" "up" 0.52 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"237" "down" 0.4 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"238" "right" 0.485 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"239" "up" 0.812 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"240" "down" 0.365 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"241" "down" 0.32 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"242" "left" 0.684 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"243" "left" 0.501 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"244" "down" 0.631 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"245" "up" 0.532 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"246" "left" 0.397 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"247" "up" 0.305 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"248" "up" 0.616 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"249" "left" 0.696 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"250" "right" 0.37 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"251" "down" 0.431 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"252" "left" 0.397 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"253" "down" 0.182 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"254" "up" 0.597 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"255" "down" 0.499 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"256" "left" 0.601 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"257" "down" 0.363 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"258" "right" 0.303 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"259" "up" 0.42 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"260" "right" 0.517 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"261" "down" 0.382 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"262" "up" 0.63 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"263" "down" 0.368 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"264" "right" 0.329 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"265" "right" 0.33 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"266" "up" 0.453 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"267" "right" 0.363 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"268" "up" 0.312 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"269" "right" 0.383 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"270" "right" 0.417 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"271" "down" 0.431 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"272" "down" 0.351 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"273" "left" 0.394 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"274" "left" 0.417 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"275" "up" 0.299 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"276" "right" 0.368 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"277" "right" 0.382 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"278" "left" 0.4 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"279" "up" 0.298 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"280" "left" 0.545 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"281" "left" 0.447 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"282" "down" 0.666 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"283" "right" 0.468 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"284" "down" 0.768 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"285" "up" 0.311 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"286" "up" 0.518 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"287" "down" 0.283 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"288" "left" 0.79 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"289" "down" 0.631 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"290" "left" 0.578 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"291" "down" 0.696 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"292" "left" 0.301 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"293" "left" 0.468 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"294" "up" 0.197 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"295" "down" 0.382 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"296" "left" 0.263 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"297" "down" 0.266 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"298" "left" 0.328 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"299" "left" 0.368 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"300" "left" 0.401 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"301" "left" 0.282 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"302" "up" 0.368 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"303" "up" 0.32 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"304" "right" 0.29 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"305" "up" 0.366 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
